Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
30.452,-3.656494140625,3.1482028961181641,2.8842372894287109,-120.65234375,-2.3780796527862549,-6.1102514266967773,-1.9690049886703491,-130.2735595703125,0
30.456,-3.2327339649200439,2.0117411613464355,2.4335906505584717,-122.368896484375,-2.7356891632080078,-6.6654257774353027,-2.3361313343048096,-133.62899780273438,0
30.46,-3.8810420036315918,0.48088160157203674,1.8261686563491821,-123.62912750244141,-2.795478343963623,-7.2615799903869629,-2.6059219837188721,-136.38542175292969,0
30.464,-5.0293149948120117,-1.1236940622329712,1.0787721872329712,-126.13731384277344,-2.864654541015625,-7.7233986854553223,-2.7587680816650391,-138.7821044921875,0
30.468,-3.8936500549316406,-1.4373258352279663,1.0323480367660522,-128.44563293457031,-2.6212496757507324,-7.7532272338867188,-2.6397762298583984,-141.95487976074219,0
30.472,-4.8780364990234375,-2.3907897472381592,0.69448679685592651,-130.58757019042969,-2.4092459678649902,-7.70477294921875,-2.5793437957763672,-144.34773254394531,0
30.476,-3.8538672924041748,-2.4732410907745361,0.64575082063674927,-133.28048706054688,-2.4632995128631592,-7.6475133895874023,-2.5484786033630371,-146.92709350585938,0
30.48,-4.7540879249572754,-3.472999095916748,0.27859592437744141,-134.71965026855469,-2.6912269592285156,-8.0306396484375,-2.8392691612243652,-147.91450500488281,0
30.484,-6.7714972496032715,-4.8379416465759277,-0.33059391379356384,-136.90971374511719,-3.1209769248962402,-8.6469326019287109,-3.2291960716247559,-148.19621276855469,0
30.488,-6.2438340187072754,-4.6747565269470215,-0.25183573365211487,-138.73063659667969,-3.1883308887481689,-8.934636116027832,-3.2364363670349121,-149.21725463867188,0
30.492,-7.2310857772827148,-5.0898423194885254,-0.52488327026367188,-140.08090209960938,-3.0885066986083984,-9.0776090621948242,-3.0991110801696777,-149.50228881835938,0
30.496,-5.9123024940490723,-4.7850098609924316,-0.59887588024139404,-141.31526184082031,-3.0209476947784424,-9.1240215301513672,-2.9529120922088623,-150.47077941894531,0
30.5,-6.1569890975952148,-5.0729355812072754,-0.89258271455764771,-140.73701477050781,-2.9210925102233887,-9.4060029983520508,-3.1169219017028809,-150.5091552734375,0
30.504,-7.0555520057678223,-5.4824180603027344,-1.4433286190032959,-141.1068115234375,-3.1281585693359375,-9.9465970993041992,-3.5409538745880127,-150.54121398925781,0
30.508,-5.7087998390197754,-4.9244141578674316,-1.5956306457519531,-141.8333740234375,-3.3673050403594971,-10.575230598449707,-4.0263571739196777,-152.34819030761719,0
30.512,-6.4501714706420898,-5.2964568138122559,-2.0005435943603516,-142.89875793457031,-3.5158114433288574,-11.133979797363281,-4.4326581954956055,-154.21163940429688,0
30.516,-4.5046882629394531,-4.5095939636230469,-1.6650409698486328,-144.41171264648438,-3.4139018058776855,-11.152547836303711,-4.3453903198242188,-156.6417236328125,0
30.52,-3.6925311088562012,-4.301485538482666,-1.4825551509857178,-144.00912475585938,-3.3207125663757324,-11.273977279663086,-4.3674736022949219,-157.28153991699219,0
30.524,-4.1716451644897461,-4.8541741371154785,-1.8393293619155884,-143.89913940429688,-3.7084228992462158,-11.763151168823242,-4.7293448448181152,-156.57014465332031,0
30.528,-3.0880100727081299,-4.4586243629455566,-1.5869739055633545,-143.49853515625,-3.8093192577362061,-12.054606437683105,-4.8872060775756836,-156.19613647460938,0
30.532,-4.2623252868652344,-4.4940743446350098,-1.3425585031509399,-143.510498046875,-3.5786585807800293,-12.112195014953613,-4.7630705833435059,-155.26338195800781,0
30.536,-2.8603744506835938,-3.0545730590820312,-0.46549123525619507,-144.92070007324219,-3.1811652183532715,-11.759572982788086,-4.2082457542419434,-155.30622863769531,0
30.54,-2.1668694019317627,-1.6061954498291016,0.45005583763122559,-145.43417358398438,-2.4947795867919922,-11.175349235534668,-3.5080769062042236,-154.47087097167969,0
30.544,-1.8461511135101318,-0.098514199256896973,1.013258695602417,-146.42646789550781,-1.9777975082397461,-10.572021484375,-2.8823413848876953,-153.30558776855469,0
30.548,0.2680257260799408,2.3679416179656982,1.6155459880828857,-146.4053955078125,-1.5632234811782837,-10.178311347961426,-2.4448032379150391,-153.09542846679688,0
30.552,-0.57100009918212891,3.2281906604766846,1.3750951290130615,-145.87162780761719,-1.4053809642791748,-10.322769165039062,-2.4595351219177246,-152.58647155761719,0
30.556,0.29148569703102112,3.9560630321502686,1.2722715139389038,-146.60629272460938,-1.4760299921035767,-10.664546012878418,-2.6475913524627686,-153.83100891113281,0
30.56,-0.14949817955493927,3.5184390544891357,1.0153036117553711,-147.3870849609375,-1.5841548442840576,-11.126150131225586,-2.9845867156982422,-155.1414794921875,0
30.564,-1.1505752801895142,2.4437553882598877,0.48707017302513123,-149.85600280761719,-1.9205398559570312,-11.491274833679199,-3.3231742382049561,-155.88322448730469,0
30.568,-0.072080314159393311,1.9262632131576538,0.4427543580532074,-151.935791015625,-2.0771594047546387,-11.588711738586426,-3.5073051452636719,-156.29646301269531,0
30.572,-1.5194034576416016,0.23334626853466034,0.29531091451644897,-153.057861328125,-1.9442660808563232,-11.501907348632812,-3.4903373718261719,-154.80683898925781,0
30.576,-1.1519906520843506,-0.3257039487361908,0.85934048891067505,-153.74800109863281,-1.4624847173690796,-10.990135192871094,-2.9981925487518311,-153.37956237792969,0
30.58,-2.2345194816589355,-1.0748809576034546,1.2520948648452759,-152.15792846679688,-0.8934752345085144,-10.585139274597168,-2.6448345184326172,-151.05378723144531,0
30.584,-4.2175459861755371,-2.1732974052429199,0.95968896150588989,-150.546142578125,-0.91732817888259888,-10.596821784973145,-2.7834022045135498,-148.57292175292969,0
30.588,-4.3826284408569336,-2.3680033683776855,0.70644301176071167,-148.24642944335938,-1.2958524227142334,-10.915830612182617,-3.2481319904327393,-147.24128723144531,0
30.592,-6.3867020606994629,-2.9667713642120361,0.070938490331172943,-146.104248046875,-1.887215256690979,-11.470273971557617,-3.8630580902099609,-145.9754638671875,0
